document_number,title,doc_type,destination,current_rev,current_source_dco,current_file_path,superseded_revs,status,category,flags
SP-E.SLQ014,"Source Control Specification, Temperature and Humidity Monitor",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-E.SLQ015,"Source Control Specification, Spectrophotometer, Jenway 7205 UV/Visible 72 Series Diode Array Scanning",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-E.SLQ016,"Source Control Specification, Freeze Dry System, 2.5 Liter",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-L.SLQ002,"Specification, Instructions for Use, ClearTract Catheter",SOP,records,B,DMR,"DMR/SP-L.SLQ002 B Specification, Instructions for Use, ClearTract Catheter.docx",A,Released,Quality Management System,
SP-L.SLQ003,"Specification, Artwork, Label, 2-way Cleartract 16 Fr x 10 ml Catheter, Pouch",SOP,records,B,DMR,"DMR/SP-L.SLQ003 B Specification, Artwork, Label, 2-way Cleartract 16 Fr x 10 ml Catheter, Pouch.docx",A,Released,Quality Management System,
SP-L.SLQ004,"Spec, Artwork, Label, 2-way Cleartract 16 Fr x 10 ml Catheter, Shipper Box",SOP,records,B,DMR,"DMR/SP-L.SLQ004 B Spec, Artwork, Label, 2-way Cleartract 16 Fr x 10 ml Catheter, Shipper Box.docx",A,Released,Quality Management System,
SP-L.SLQ005,"Specification, Artwork, Label, Suspension",SOP,records,A,DMR,"DMR/SP-L.SLQ005 A Specification, Artwork, Label, Suspension.docx",,Released,Quality Management System,
SP-L.SLQ006,"Specification, Artwork, Label, 2-way Cleartract 16 Fr x 10 ml Catheter, Carton",SOP,records,A,DCOs/Previous Revisions,"DCOs/Previous Revisions/SP-L_PreviousRevisions/SP-L.SLQ006 A Specification, Artwork, Label, 2-way Cleartract 16 Fr x 10 ml Catheter, Carton.docx",,Released,Quality Management System,
SP-L.SLQ007,"Specification, Instructions for Use, 2-Way ClearTract SPT Catheter",SOP,records,A,DMR,"DMR/SP-L.SLQ007/SP-L.SLQ007 A Specification, Instructions for Use, 2-Way ClearTract SPT Catheter.docx",,Released,Quality Management System,
SP-L.SLQ008,"Specification, Artwork, Label, Pouch, 2-Way ClearTract SPT Catheter",SOP,records,A,DMR,"DMR/SP-L.SLQ008/SP-L.SLQ008 A Specification, Artwork, Label, Pouch, 2-Way ClearTract SPT Catheter.docx",,Released,Quality Management System,
SP-L.SLQ009,"Specification, Artwork, Label, Carton, 2-Way ClearTract SPT Catheter",SOP,records,A,DMR,"DMR/SP-L.SLQ009/SP-L.SLQ009 A Specification, Artwork, Label, Carton, 2-Way ClearTract SPT Catheter.docx",,Released,Quality Management System,
SP-L.SLQ010,"Specification, Artwork, Label, Shipper Box, 2-Way ClearTract SPT Catheter",SOP,records,A,DMR,"DMR/SP-L.SLQ010/SP-L.SLQ010 A Specification, Artwork, Label, Shipper Box, 2-Way ClearTract SPT Catheter.docx",,Released,Quality Management System,
SP-M.SLQ001,"Source Control Specification, Polymeric Dispersion Soution, Unpurified",SOP,records,C,DMR,"DMR/SP-M.SLQ001 C Source Control Specification, Polymeric Dispersion Soution, Unpurified.docx",A;B,Released,Quality Management System,
SP-S.SLQ001,"Source Control Specification, High Purity Water",SOP,records,B,(none),,A,Released,Quality Management System,Current revision B known from the DCO log but NO physical file located.
SP-S.SLQ002,"Source Control Specification, Centrifuge Tube, 50mL, Polypropylene, Flat Cap",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-S.SLQ003,"Source Control Specification, Container, 8.5in x 18in x 6in",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-S.SLQ004,"Source Control Specification, Syringe, 10mL",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-S.SLQ005,"Source Control Specification, pH Strip",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-S.SLQ006,"Source Control Specification, Deuterium Oxide",SOP,records,B,(none),,A,Released,Quality Management System,Current revision B known from the DCO log but NO physical file located.
SP-S.SLQ007,"Source Control Specification, Bleach",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-S.SLQ008,"Source Control Specification, Crystal Violet",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-S.SLQ009,"Source Control Specification, Acetic Acid",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-S.SLQ010,"Source Control Specification, Glass Test Tubes",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-S.SLQ011,"Source Control Specification, UV Cuvette",SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
SP-TF.SLQ001,"Source Control Specification, VIS Photometric Accuracy Calibration Standards (400-700nm), HF -0.2",SOP,records,C,(none),,A;B,Released,Equipment & Facilities,Current revision C known from the DCO log but NO physical file located.
SW.SLQ001,"Software Validation Plan, FileHold",SOP,records,A,DHF,"DHF/Software/SW.SLQ001 A Software Validation Plan, FileHold.docx",,Released,Design Control,
SW.SLQ002,"Product Requirements Specification, FileHold",SOP,records,A,DHF,"DHF/Software/SW.SLQ002 A Product Requirements Specification, FileHold.docx",,Released,Quality Management System,
SW.SLQ003,"Software Verification Test Plan, FileHold",SOP,records,A,DHF,"DHF/Software/SW.SLQ003 A Software Verification Test Plan, FileHold.docx",,Released,Design Control,
SW.SLQ004,Software Verification Test Procedure FileHold,SOP,records,A,DHF,DHF/Software/SW.SLQ004 A Software Verification Test Procedure FileHold.docx,,Released,Design Control,
SW.SLQ005,"Software Validation Report, FileHold",SOP,records,A,DHF,"DHF/Software/SW.SLQ005 A Software Validation Report, FileHold.docx",,Released,Quality Management System,
SW.SLQ006,"Requirements Traceability Matrix, FileHold",SOP,records,A,DHF,"DHF/Software/SW.SLQ006 A Requirements Traceability Matrix, FileHold.docx",,Released,Design Control,
SW.SLQ007,"Software Validation Plan, Silq eQMS",SOP,records,A,QMSInProcess package,"QMSInProcess/DC.SLQ002/SW.SLQ007 A Software Validation Plan, Silq eQMS.docx",,Released,Design Control,
SW.SLQ008,Product Requirements Specification Silq eQMS,SOP,records,A,QMSInProcess package,QMSInProcess/DC.SLQ002/SW.SLQ008 A Product Requirements Specification Silq eQMS.docx,,Released,Quality Management System,
SW.SLQ009,"Software Verification Test Plan, SIlq eQMS",SOP,records,A,QMSInProcess package,"QMSInProcess/DC.SLQ002/SW.SLQ009 A Software Verification Test Plan, SIlq eQMS.docx",,Released,Design Control,
SW.SLQ010,Software Verification Test Procedure Silq eQMS,SOP,records,A,QMSInProcess package,QMSInProcess/DC.SLQ002/SW.SLQ010 A Software Verification Test Procedure Silq eQMS.docx,,Released,Design Control,
SW.SLQ011,Software Validation Report Silq eQMS,SOP,records,A,QMSInProcess package,QMSInProcess/DC.SLQ002/SW.SLQ011 A Software Validation Report Silq eQMS.docx,,Released,Quality Management System,
SW.SLQ012,Requirements Traceability Matrix Silq eQMS,SOP,records,A,QMSInProcess package,QMSInProcess/DC.SLQ002/SW.SLQ012 A Requirements Traceability Matrix Silq eQMS.docx,,Released,Design Control,
TMP1-QC-C.SLQ001,"Template, Suspension Quality Control Report",Template,records,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QC-C.SLQ001 B Template, Suspension Quality Control Report.docx",A,Released,Quality Management System,
TMP1-QM.SLQ001,Controlled Document Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ001 A Controlled Document Template.docx",,Released,Quality Management System,
TMP1-QM.SLQ005,Design Project Plan Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ005 A Design Project Plan Template.docx",,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP1-QM.SLQ006,User Needs Design Input Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ006 A User Needs Design Input Template.docx",,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP1-QM.SLQ007,Source Control Specification Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ007 A Source Control Specification Template.docx",,Obsolete,Quality Management System,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP1-QM.SLQ009,Design VV Test Plan Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ009 A Design VV Test Plan Template.docx",,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP1-QM.SLQ010,Clinical Transfer Checklist Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ010 A Clinical Transfer Checklist Template.docx",,Obsolete,Quality Management System,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP1-QM.SLQ012,Risk Management Plan Template,Template,document_control,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ012 B Risk Management Plan Template.docx",,Released,Risk Management,No physical file for prior revision A (history gap).
TMP1-QM.SLQ013,Preliminary Hazard Analysis Template,Template,document_control,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ013 B Preliminary Hazard Analysis Template.docx",,Released,Risk Management,No physical file for prior revision A (history gap).
TMP1-QM.SLQ021,"Template, Complaint Reponse Letter",Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ021 A Template, Complaint Reponse Letter.docx",,Released,CAPA & Complaints,
TMP1-QM.SLQ045,Quarantine Label Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ045 A Quarantine Label Template.dymo",,Released,Quality Management System,
TMP1-QM.SLQ046,"Template, Packing List",Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP1-QM.SLQ046 A Template, Packing List.docx",,Released,Quality Management System,
TMP1-QM.SLQ052,"Design Input, Output, and Traceability Matrix",Template,document_control,A,QMSInProcess package,"QMSInProcess/DCO095/TMP1-QM.SLQ052 A Design Input, Output, and Traceability Matrix.docx",,Released,Design Control,
TMP2-QC-C.SLQ001,"Template, Certificate of Analysis, Suspension",Template,records,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP2-QC-C.SLQ001 A Template, Certificate of Analysis, Suspension.docx",,Released,Quality Management System,
TMP2-QM.SLQ006,Prod Reqmnts Design Input Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP2-QM.SLQ006 A Prod Reqmnts Design Input Template.docx",,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP2-QM.SLQ007,Design Input Output Matrix Template DC.SLQ001,Template,document_control,A,QMSInProcess package,QMSInProcess/DC.SLQ001/TMP2-QM.SLQ007 A Design Input Output Matrix Template DC.SLQ001.docx,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP2-QM.SLQ009,Design VV Protocol Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP2-QM.SLQ009 A Design VV Protocol Template.docx",,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP2-QM.SLQ010,Design Transfer Checklist Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP2-QM.SLQ010 A Design Transfer Checklist Template.docx",,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP2-QM.SLQ013,Hazards Analysis Table,Template,document_control,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP2-QM.SLQ013 B Hazards Analysis Table.xlsx",,Released,Risk Management,No physical file for prior revision A (history gap).
TMP2-QM.SLQ052,"V&V Plan, Protocol, and Report",Template,document_control,A,QMSInProcess package,"QMSInProcess/DCO095/TMP2-QM.SLQ052 A V&V Plan, Protocol, and Report.docx",,Released,Design Control,
TMP3-QM.SLQ009,Design VV Final Report Template,Template,document_control,A,QMSInProcess package,QMSInProcess/DC.SLQ001/TMP3-QM.SLQ009 A Design VV Final Report Template.docx,,Obsolete,Design Control,Marked OBSOLETE by DCO095 (QM.SLQ004–010 family superseded by QM.SLQ052).
TMP3-QM.SLQ013,FMEA Worksheet Template,Template,document_control,A,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Templates/TMP3-QM.SLQ013 A FMEA Worksheet Template.xlsx",,Released,Risk Management,
TR-C.SLQ001,Suspension Processing Traveler,Traveler,records,B,Forms/Templates/Travelers (clean),"Forms, Templates, and Travelers/Travelers/TR-C.SLQ001 B Suspension Processing Traveler.docx",A,Released,Production & Process,
VV.SLQ001,"Test Report, In-Vitro Bacterial Adhesion Comparative Study",SOP,records,A,DHF,"DHF/VV.SLQ001 A Test Report, In-Vitro Bacterial Adhesion Comparative Study.docx",,Released,Quality Management System,
VV.SLQ002,"Test Protocol, Crystal Violet Absorbance, Silq Surface Treatment",SOP,records,A,DHF,"DHF/VV.SLQ002 A Test Protocol, Crystal Violet Absorbance, Silq Surface Treatment.docx",,Released,Quality Management System,
VV.SLQ003,"Test Protocol, Coating Adherence Verification, Silq Surface Treatment",SOP,records,A,DHF,"DHF/VV.SLQ003 A Test Protocol, Coating Adherence Verification, Silq Surface Treatment.docx",,Released,Design Control,
VV.SLQ004,"Test Protocol, Lubricity Durability Study, Silq Surface Treatment",SOP,records,A,DHF,"DHF/VV.SLQ004 A Test Protocol, Lubricity Durability Study, Silq Surface Treatment.docx",,Released,Quality Management System,
VV.SLQ005,"Test Report, Crystal Violet Absorbance, Silq Surface Treatment",SOP,records,A,DHF,"DHF/VV.SLQ005 A Test Report, Crystal Violet Absorbance, Silq Surface Treatment.docx",,Released,Quality Management System,
VV.SLQ006,"Test Report, Coating Adherence Verification, Silq Surface Treatment",SOP,records,A,DHF,"DHF/VV.SLQ006 A Test Report, Coating Adherence Verification, Silq Surface Treatment.docx",,Released,Design Control,
VV.SLQ007,"Test Report, Lubricity Durability Study, Silq Surface Treatment",SOP,records,A,DHF,"DHF/VV.SLQ007 A Test Report, Lubricity Durability Study, Silq Surface Treatment.docx",,Released,Quality Management System,
VV.SLQ008,"Test Protocol, Saline Soak Stability Experiment, Silq Surface Treatment",SOP,records,A,DHF,"DHF/VV.SLQ008 A Test Protocol, Saline Soak Stability Experiment, Silq Surface Treatment.docx",,Released,Quality Management System,
VV.SLQ009,"Test Report, Saline Soak Stability Experiment, Silq Surface Treatment",SOP,records,A,DHF,"DHF/VV.SLQ009 A Test Report, Saline Soak Stability Experiment, Silq Surface Treatment.docx",,Released,Quality Management System,
VV.SLQ010,"Master Validation Plan, Suspension",SOP,records,A,DHF,"DHF/VV.SLQ010 A Master Validation Plan, Suspension.docx",,Released,Design Control,
VV.SLQ011,"Installation Qualification Protocol, Diafiltration System",SOP,records,A,DHF,"DHF/VV.SLQ011 A Installation Qualification Protocol, Diafiltration System.docx",,Released,Quality Management System,
VV.SLQ012,"Installation Qualification Protocol, Peristaltic Pump",SOP,records,A,DCOs/Previous Revisions,"DCOs/Previous Revisions/V&V_PreviousRevisions/VV.SLQ012 A Installation Qualification Protocol, Peristaltic Pump.docx",,Released,Quality Management System,
VV.SLQ013,"Installation Qualification Protocol, Pneumatic Drum Stirrer",SOP,records,A,DHF,"DHF/VV.SLQ013 A Installation Qualification Protocol, Pneumatic Drum Stirrer.docx",,Released,Quality Management System,
VV.SLQ014,"Installation Qualification Protocol, Waste Diaphragm Pump",SOP,records,A,DCOs/Previous Revisions,"DCOs/Previous Revisions/V&V_PreviousRevisions/VV.SLQ014 A Installation Qualification Protocol, Waste Diaphragm Pump.docx",,Released,Quality Management System,
VV.SLQ015,"Installation Qualification Protocol, Floor Scale, Concentrate Reactor",SOP,records,A,DCOs/Previous Revisions,"DCOs/Previous Revisions/V&V_PreviousRevisions/VV.SLQ015 A Installation Qualification Protocol, Floor Scale, Concentrate Reactor.docx",,Released,Quality Management System,
VV.SLQ016,"Installation Qualification Protocol, Floor Scale, Suspension",SOP,records,A,DCOs/Previous Revisions,"DCOs/Previous Revisions/V&V_PreviousRevisions/VV.SLQ016 A Installation Qualification Protocol, Floor Scale, Suspension.docx",,Released,Quality Management System,
VV.SLQ017,"Installation Qualification Protocol, Weighing Scale",SOP,records,A,DCOs/Previous Revisions,"DCOs/Previous Revisions/V&V_PreviousRevisions/VV.SLQ017 A Installation Qualification Protocol, Weighing Scale.docx",,Released,Quality Management System,
VV.SLQ018,"Product Performance Qualification Report, Suspension",SOP,records,A,DHF,"DHF/VV.SLQ018 A Product Performance Qualification Report, Suspension.docx",,Released,Quality Management System,
VV.SLQ019,"Report, Installation Qualification, Diafiltration System, ST-005",SOP,records,A,DHF,"DHF/VV.SLQ019 A Report, Installation Qualification, Diafiltration System, ST-005.docx",,Released,Quality Management System,
VV.SLQ020,"Report, Installation Qualification, Peristaltic Pump, ST-008",SOP,records,A,DHF,"DHF/VV.SLQ020 A Report, Installation Qualification, Peristaltic Pump, ST-008.docx",,Released,Quality Management System,
VV.SLQ021,"Report, Installation Qualification, Pnuematic Drum Stirrer, ST-009",SOP,records,A,DHF,"DHF/VV.SLQ021 A Report, Installation Qualification, Pnuematic Drum Stirrer, ST-009.docx",,Released,Quality Management System,
VV.SLQ022,"Report, Installation Qualification, Waste Diaphragm Pump, ST-004",SOP,records,A,DHF,"DHF/VV.SLQ022 A Report, Installation Qualification, Waste Diaphragm Pump, ST-004.docx",,Released,Quality Management System,
VV.SLQ023,"Report, Installation Qualification, Floor Scale, Concentrate Reactor, ST-006",SOP,records,A,DHF,"DHF/VV.SLQ023 A Report, Installation Qualification, Floor Scale, Concentrate Reactor, ST-006.docx",,Released,Quality Management System,
VV.SLQ024,"Report, Installation Qualification, Floor Scale, Suspension, ST-007",SOP,records,A,DHF,"DHF/VV.SLQ024 A Report, Installation Qualification, Floor Scale, Suspension, ST-007.docx",,Released,Quality Management System,
VV.SLQ025,"Report, Installation Qualification, Weighing Scale, ST-012",SOP,records,A,DHF,"DHF/VV.SLQ025 A Report, Installation Qualification, Weighing Scale, ST-012.docx",,Released,Quality Management System,
VV.SLQ026,"Installation Qualification Protocol, UV-Visible Spectrophotometer",SOP,records,A,DHF,"DHF/VV.SLQ026 A Installation Qualification Protocol, UV-Visible Spectrophotometer.docx",,Released,Quality Management System,
VV.SLQ028,"Test Protocol, Suspension Shelf Life Evaluation, Silq Surface Treatment",SOP,records,B,DHF,"DHF/VV.SLQ028 B Test Protocol, Suspension Shelf Life Evaluation, Silq Surface Treatment.docx",A,Released,Quality Management System,
VV.SLQ029,"Test Report, Suspension Shelf Life Evaluation, 2 Year Aged, Silq Surface Treatment",SOP,records,A,DHF,"DHF/VV.SLQ029 A Test Report, Suspension Shelf Life Evaluation, 2 Year Aged, Silq Surface Treatment.docx",,Released,Quality Management System,
WC.SLQ001-0,Web Site Home Page,SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
WC.SLQ001-1,Product Information,SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
WC.SLQ001-2,Video Transcript Silq Technology Overview,SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
WC.SLQ002-0,Biofilm Resistance Technology,SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
WC.SLQ002-1,Biocompatble Technology,SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
WC.SLQ002-2,Anti-thrombogenic Technology,SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
WC.SLQ002-3,Low Coefficient of Friction Technology,SOP,records,A,(none),,,Released,Quality Management System,Current revision A known from the DCO log but NO physical file located. | No physical file found in any scanned folder for this document.
